Source,Links
The Indian Express,https://indianexpress.com/article/opinion/columns/unemployment-jobs-india-plfs-survey-6106758/
The Indian Express,https://indianexpress.com/article/explained/expalined-is-the-push-towards-organised-manufacturing-the-answer-to-indias-jobs-crisis-6241308/
The Indian Express,https://indianexpress.com/article/opinion/columns/unemployment-india-job-data-gdp-5584683/
The Indian Express,https://indianexpress.com/article/opinion/india-job-crisis-mgnrega-economic-advisory-council-unemployment-the-rising-insecurity-6095152/
The Indian Express,https://indianexpress.com/article/opinion/columns/fifth-column-why-offend-mr-jeff-bezos-amazon-6223735/
The Indian Express,https://indianexpress.com/article/opinion/columns/the-problem-of-skilling-india-unemployment-joblessness-modi-government-5973808/
The Indian Express,https://indianexpress.com/article/opinion/columns/narendra-modi-bjp-government-indian-economy-india-jobs-unemployment-rate-niti-aayog-5757306/
The Indian Express,https://indianexpress.com/article/business/economy/six-year-low-and-slow-gdp-growth-recorded-at-4-5-per-cent-lowest-in-more-than-6-years-6143474/
The Indian Express,https://indianexpress.com/article/business/indias-urban-unemployment-rate-drops-to-9-3-per-cent-in-jan-mar-2019-govt-data-6133715/
The Indian Express,https://indianexpress.com/article/india/youth-unemployment-rising-with-educational-qualifications-study-6098754/
The Indian Express,https://indianexpress.com/elections/unemployment-rate-highest-in-2019-do-political-parties-really-care-have-a-look-at-manifesto-decision-2019-5674201/
The Indian Express,https://indianexpress.com/article/india/youth-felt-lack-jobs-new-panel-focus-gujarat-chief-secretary-jn-singh-5768898/
The Indian Express,https://indianexpress.com/article/india/sena-nehru-gandhi-family-cant-be-blamed-for-non-generation-of-jobs-5763396/
The Indian Express,https://indianexpress.com/article/cities/ahmedabad/gujarat-youth-jobless-bjp-govt-failed-on-job-issue-claims-congress-vijay-rupani-5484907/
The Indian Express,https://indianexpress.com/article/opinion/columns/slowdown-jammu-kashmir-congress-article-370-forgotten-the-flagging-economy-513506/
The Indian Express,https://indianexpress.com/article/jobs/national-male-workforce-shrinking-says-labour-report-that-govt-buried-nsso-job-report-5634838/
The Indian Express,https://indianexpress.com/article/india/prime-minister-modi-speech-jobs-employment-lok-sabha-no-confidence-motion-5268709/
The Indian Express,https://indianexpress.com/article/opinion/columns/development-unemployment-agrarian-crisis-policy-making-growth-across-the-aisle-governments-hide-people-seek-5211182/
The Indian Express,https://indianexpress.com/article/india/congress-to-focus-on-agriculture-employment-to-challenge-bjp-5085612/
The Wire ,https://thewire.in/politics/modi-government-does-not-acknowledge-the-word-slowdown-manmohan-singh
The Wire ,https://thewire.in/economy/2020-modi-first-priority-india-flailing-economic-ship
The Wire ,https://thewire.in/economy/facing-the-reality-how-can-modi-reverse-the-current-economic-slowdown
The Wire ,https://thewire.in/politics/opposition-reaction-budget-2020
The Wire ,https://thewire.in/economy/budget-2020-india-economy
The Wire ,https://thewire.in/economy/india-economic-slowdown-reconsider-cash-transfers
The Wire ,https://thewire.in/economy/india-economy-rickety-bridge-over-troubled-waters
The Wire ,https://thewire.in/health/icds-anganwadi-workers-helpers-midday-meals-minimum-wage-protest
The Wire ,https://thewire.in/economy/india-employment-structural-transformation
The Wire ,https://thewire.in/economy/budget-2020-youth-jobs
The Wire ,https://thewire.in/economy/india-politics-economics-crisis-of-confidence-mistrust
The Wire ,https://thewire.in/labour/9-million-jobs-lost-in-6-years-a-first-in-indian-history
The Wire ,https://thewire.in/labour/centre-said-it-was-bringing-jobs-to-jk-instead-it-has-brought-more-unemployment
The Wire ,https://thewire.in/education/on-manmohan-singhs-birthday-congress-renews-unemployment-charge-against-bjp-govt
The Wire ,https://thewire.in/labour/santosh-gangwar-labour-minister-unemployment-india
The Wire ,https://thewire.in/labour/centre-said-it-was-bringing-jobs-to-jk-instead-it-has-brought-more-unemployment
The Wire ,https://thewire.in/government/congress-leaders-amp-pressure-on-govt-over-economy
The Wire ,https://thewire.in/banking/shadow-banking-crisis-ilfs-dhfl
The Wire ,https://thewire.in/rights/kashmir-article-370-leh-ladakh-land-job-reservation
The Wire ,https://thewire.in/economy/goldman-sachs-sees-more-pain-in-store-for-the-indian-economy
The Wire ,https://thewire.in/uncategorised/bengal-left-student-activists-police-clash-at-protest-against-unemployment
The Wire ,https://thewire.in/economy/indias-economy-suffers-car-crash-pain-spreads-to-villages
The Wire ,https://thewire.in/macro/manmohan-singh-india-economy-gdp
The Wire ,https://thewire.in/economy/can-rich-wealth-creators-in-india-boost-the-economy-to-5-trillion
The Wire ,https://thewire.in/economy/government-economy-slowdown-parle
The Wire ,https://thewire.in/labour/life-of-labour-rss-affiliated-union-economic-slowdown-jobs
The Wire ,https://thewire.in/economy/raghuram-rajan-economic-slowdown-worrisome
The Wire ,https://thewire.in/business/mahindra-warns-job-losses-seeks-government-help
The Wire ,https://thewire.in/business/two-lakh-jobs-cut-in-last-3-months-across-automobile-dealerships-fada
The Wire ,https://thewire.in/labour/why-aggregate-employment-in-india-is-shrinking
The Economist,https://www.economist.com/finance-and-economics/2018/03/28/indias-economy-is-back-on-track-can-it-pick-up-speed
The Economist,https://www.economist.com/special-report/2019/10/24/a-downturn-in-india-reveals-the-desperate-need-for-deeper-reform
The Economist,https://www.economist.com/leaders/2019/10/24/narendra-modi-is-damaging-indias-economy-as-well-as-its-democracy
The Economist,https://www.economist.com/leaders/2019/10/10/the-risks-from-indias-rotten-banks
The Economist,https://www.economist.com/briefing/2014/05/24/modis-mission
The Economist,https://www.economist.com/asia/2019/02/16/a-deceptive-tweet-casts-doubt-on-the-indian-governments-credibility
The Economist,https://www.economist.com/graphic-detail/2020/01/24/indias-democracy-in-danger
The Economist,https://www.economist.com/leaders/2018/07/05/why-india-needs-women-to-work
The Economist,https://www.economist.com/briefing/2018/07/05/culture-and-the-labour-market-keep-indias-women-at-home
The Economist,https://www.economist.com/news/briefing/21577373-india-will-soon-have-fifth-worlds-working-age-population-it-urgently-needs-provide
The Economist,https://www.economist.com/news/briefing/21577373-india-will-soon-have-fifth-worlds-working-age-population-it-urgently-needs-provide
The Economist,https://www.economist.com/leaders/2019/04/06/a-better-anti-poverty-plan-for-india
The Economist,https://www.economist.com/special-report/2019/10/24/a-downturn-in-india-reveals-the-desperate-need-for-deeper-reform
The Economist,https://www.economist.com/leaders/2019/04/06/a-better-anti-poverty-plan-for-india
The Economist,https://www.economist.com/asia/2008/04/24/shovelling-for-their-supper
The Economist,https://www.economist.com/leaders/2019/10/24/narendra-modi-is-damaging-indias-economy-as-well-as-its-democracy
The Economist,https://www.economist.com/asia/2015/09/03/indias-non-crippling-labour-strike
