Source,Topic Name,Link
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/pm-modi-amit-shah-must-initiate-dialogue-over-caa-nrc-rss/articleshow/74656433.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/trump-to-discuss-caa-nrc-issues-with-modi-during-india-visit-senior-us-administration-official/articleshow/74250890.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/pm-modi-amit-shah-misled-people-on-caa-nrc-sonia-gandhi/articleshow/73227314.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/i-told-pm-modi-to-withdraw-caa-nrc-and-npr-mamata/articleshow/73203765.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/pm-modis-visit-to-bangladesh-simmering-tension-over-caa-nrc-to-take-centre-stage/articleshow/74516656.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/congress-prepares-to-target-modi-govt-over-caa-nrc-and-economy-in-parliament/articleshow/73808463.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/caa-npr-nrc-not-just-issues-of-muslims-says-akbaruddin-owaisi/articleshow/74526068.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/city/nagpur/agnipariksha-must-for-modi-shah-on-caa-nrc/articleshow/73195843.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/congress-urban-naxals-spreading-rumours-over-caa-nrc-pm-modi/articleshow/72924852.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/caa-derailed-congress-plan-to-hit-at-govt-on-growth/articleshow/74421802.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/city/bengaluru/congress-holds-protests-against-caa-nrc-in-bengaluru/articleshow/73088478.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/tmc-cpm-activists-begin-protests-against-caa-nrc-ahead-of-pm-narendra-modis-two-day-bengal-visit/articleshow/73201299.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/opposition-parties-seek-withdrawal-of-caa-stop-of-nrc-npr-work/articleshow/73236712.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/bid-to-raise-caa-npr-nrc-issues-being-scuttled-in-parliament-congress/articleshow/73909987.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/congress-confusing-caa-with-nrc-to-mislead-minorities-bjp/articleshow/73046387.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/amit-shah-kapil-sibal-engage-in-heated-exchange-over-caa-npr-in-rajya-sabha/articleshow/74599101.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/officially-say-no-to-caa-nrc-in-congress-ruled-states-prashant-kishor-to-rahul-gandhi/articleshow/72948956.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/in-rajasthan-rally-rahul-gandhi-slams-pm-on-jobs-but-skirts-caa/articleshow/73714828.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/amit-shah-attacks-cong-brands-opponents-of-caa-anti-dalit/articleshow/73365748.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/visit-shaheen-bagh-listen-to-concerns-on-caa-nrc-over-tea-protesters-to-pm/articleshow/73361888.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/blogs/Swaminomics/nrc-caa-move-likely-to-stoke-a-statistical-collapse/
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/blogs/legal-lens/states-challenging-the-caa-nrc-and-npr-a-direct-assault-on-the-federal-structure-of-india/
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/154-prominent-citizens-support-caa-npr-nrc-write-to-president/articleshow/74176834.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/caa-nrc-npr-chronology-will-make-people-spend-lifetime-securing-papers-yechury/articleshow/74247500.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/city/delhi/jnu-students-protest-against-caa-nrc-at-jantar-mantar/articleshow/74177531.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/city/ludhiana/punjab-ludhiana-to-have-shaheen-bagh-like-daily-protests-against-caa/nrc-says-shahi-imam-punjab/articleshow/74063433.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/city/hyderabad/telangana-assembly-adopts-resolution-against-caa-npr-nrc/articleshow/74653325.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/no-need-for-indian-citizens-of-any-religion-to-worry-about-caa-nrc/articleshow/72888003.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/city/puducherry/puducherry-assembly-passes-resolution-against-caa-nrc-npr/articleshow/74096304.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/city/ludhiana/indefinite-protest-over-caa-nrc-starts-at-dana-mandi/articleshow/74108452.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/caa-nrc-has-made-life-difficult-for-muslims-mayawati/articleshow/73899990.cms
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/blogs/toi-edit-page/a-tale-of-two-nationalisms-anti-caa-nrc-protesters-have-broken-bjps-monopoly-over-patriotism/
The Times of India,caa-nrc,https://timesofindia.indiatimes.com/india/caanrc-a-sinister-design-foiled-by-people-chowdhury/articleshow/73961317.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/pm-modi-apologises-to-people-for-hardships-due-to-lockdown-says-there-was-no-other-option-to-fight-coronavirus/articleshow/74874025.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/coronavirus-pm-modi-urges-citizens-to-follow-self-care-guidelines-issued-by-ayush-ministry/articleshow/74935998.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/coronavirus-modi-calls-up-pune-nurse-thanks-her-for-efforts/articleshow/74859700.cms
