,Title,Text,sentiment,neutrality
0,"Trump to discuss CAA, NRC issues with Modi during India visit: Senior US administration official",united state president trump prime minister file photo download time news app latest news subscribe start daily morning time newspaper order dc united state president trump discus issue concerning citizenship amendment act caa proposed national registrar citizen nrc prime minister upcoming visit senior u administration official reporter official u great respect democratic tradition institution continue encourage uphold president trump talk shared tradition democracy religious freedom public remark certainly private raise issue particularly religious freedom issue important trump administration shared commitment upholding universal value rule law senior official told reporter great respect democratic tradition institution continue encourage uphold tradition concerned issue reporter raised official referring reporter question whether caa nrc issue would raised president talk issue meeting prime minister note world looking continue uphold democratic tradition official promise citizenship christian refugee facing stiff opposition across country state including west refusing implement member delegation president trump arrive visit visiting dignitary expected attend event stadium named trump line howdy function addressed u president last first lady trump extensive schedule arrive national capital according source multiple meeting talk apart exchange agreement,0.9946,0.273091087358566
1,"PM Modi's visit to Bangladesh: Simmering tension over CAA, NRC to take centre stage",prime minister file photo download time news app latest news subscribe start daily morning time newspaper order prime minister work hard assuage uncertainty hurt feeling inside visit march deliver keynote address centenary week speaker parliament latest cancel visit leading member delegation invitation counterpart om cancellation attributed preparation needed special session parliament march cancellation trip coincides protest week riot left several people injured opposition party opposed visit likely include bilateral agreement connectivity instance inland waterway increasing frequency train etc focus visit centenary celebration hold special significance sheikh lurking surface tension country move apprehension allayed foreign secretary harsh last week first high level visit country caa passed government including mission criticized poor outreach government regular explain new citizenship law address national register citizen nrc exercise process entirely internal therefore implication government people assurance count reminder politics rule well foreign minister urged anything would hurt political government elected people vote anything answer people action cautioned untangled bureaucratic hurdle allow procure equipment,-0.9169,0.18850655390444881
2,"Agnipariksha must for Modi, Shah on CAA, NRC",swaraj foundation foundation jointly organized lecture lawyer left caa read download time news app latest city news subscribe start daily morning time newspaper order prime minister union home minister shah must go acid test like lost trust citizen lawyer talk ka test decreed lord ram shah must make caa nrc prestige issue government must tell people writing implement act talk organized swaraj foundation since last year shah made nrc trying allay apprehension among become stateless caa implemented gathering around teacher professional intellectual made clear coming event organized come becomes communal affair exactly shah want polarize people backhand compliment need thank shah people started understanding constitution society law left unto lawyer court interpret good citizen becoming aware flashing copy citizenship act law without amendment stringent enough deal illegal immigrant intruder amended five time one came know criminal conspiracy adding amendment play minute speech questioned shah understanding act constitution uneducated people try make law foolish act religious fanatic becomes poisonous grave injustice meted framing constitution anything take revenge ridiculed home minister shah viral comment understand chronology reading sequence supreme court judgement historical fact development since clearly guarantee equality protest seen took place act framed lawyer called detox poison spread people mind dubbing unconstitutional discriminatory religious basis,-0.8591,0.16422191956953142
3,NRC-CAA move likely to stoke a statistical collapse,government attempt catch infiltrator national register citizen nrc citizenship amendment act caa created communal poison social harmony vital economic progress bashed unexpected consequence black hole statistic making guesswork statistic dry vital reveal got progress statistical fog render data dubious identify going right wrong correct failure protest nrc caa suddenly made data collection impossible state census could become fiasco along nrc national population register census exercise done simultaneously never problem earlier today fear losing citizenship many refuse answer question even beat surveyor caa nrc controversial census citizen easily distinguish survey suspect official national sample survey organisation asking question social issue attacked villager fearing linked way nrc west enumerator struggling collect data education sanitation employment harassment villager rising fast entire survey may called first time since independence growing web mistrust acrimony mean need police protection even given citizen lie refuse answer question rendering survey useless minimal level trust citizen government essential decent governance fast disappearing shaheen bagh woman protesting peacefully caa nrc wear headband saying love wave national flag sing national anthem pledging protect equality guaranteed constitution power wrecking yet bjp stalwart calling protester terrorist gang wanting break communal falsehood destroy little trust remains citizen state wrecking justice economy statistical system critic say surveyor visit village instead fill questionnaire sitting coffee shop worsen dramatically surveyor beaten suspicious crowd several state west refused implement one among caa nrc bjp offered drop question birthplace parent assuage people fear say nrc yet decided since shah vowed hold one many sure come determined sabotage bjp seek vote promising throw termite nrc asked people produce document proving whopping million failed produce document million million million clearly exercise uncovered undocumented illegals caa offer naturalisation rendered stateless put detention camp projecting experience national nrc would cost r crore trap million people including million putting detention camp would human right scandal ten time worse china detention one million name mud face global sanction collateral damage include statistical wreckage recently statistic slated implausibility fudging former chief economic advisor think overstated maybe percentage point latest periodic labour force survey showed unemployment tripling government delayed report dismissed flawed survey showed catastrophic fall consumption per caput implying sharp rise poverty despite miracle growth suppressed dismissed flawed restore credibility accuracy new statistical committee respected economist sen asked revamp entire statistical system communal polarisation mean surveyor beaten citizen stop answering question state government refuse implement survey sen helpless hopefully supreme court strike caa ending sorry chapter history,-0.9962,0.2245481242911047
4,"States challenging the CAA, NRC and NPR: A direct assault on the federal structure of India",passing citizenship amendment act proposed national register citizen nrc along national population register citizenship rule drawn lot protest street landed door supreme court surprising among dissent towards subject state government ruled opposite political party notably state assembly west passed resolution caa nrc wherein let law passed parliament implemented respective state furthermore state filed suit supreme court article constitution posturing state serious consequence federal structure polity leaf dangerous precedent unity integrity nature federalism envisaged constitution perfect federation article constitution describes union state meaning thereby union comprising various state integral part union destructible various article constitution clearly seen power dynamic skewed overwhelmingly towards union challenge state article article constitution deal original jurisdiction supreme court deal dispute government one state article two requirement first dispute government one state second dispute involves question whether law fact existence extent legal right depends past state v union supreme court held dispute involve idea private citizen firm corporation figuring disputant either alone even along state government case held dispute political character involving legal right around petitioner individual political party religious organization etc already filed writ petition article right constitutional remedy alleged violation fundamental right caa nrc supreme court issued notice state ruled different political party centre since issue raised suit article raised writ petition filed article overwhelming political overtone suit ruled need specifically highlighted state government complaint violation fundamental right like individual take recourse article article constitution technically state violate fundamental right issue writ petition exactly raised state suit article party involved former state political party individual therefore seen successful resolution dispute proper necessary party government individual well thus suit state fall short mandate article issue challenge central law article received conflicting opinion supreme court state v union another apex court stated central law challenged high court article supreme court article article invoked challenge central law state v state another supreme court accept contention constitutionality law could challenged article difference opinion two coordinate bench apex court matter referred larger bench consideration article constitution seems absurd constitution article provides state government fails comply directive union exercise executive power constitution president could hold situation arisen government state carried accordance provision constitution state government openly defy union government challenge union law supreme court acknowledging fact failed comply union law situation arisen wherein government state carried term constitution similar case state assembly passing resolution implement caa nrc furthermore article union government duty bound protect every state external aggression internal disturbance ensure government every state carried accordance provision constitution article extreme situation warrant imposition state emergency well government state carried accordance provision constitution therefore constitution provides union government measure ensure state government work accordance provision constitution check balance within constitution important understand highlight founding father constitution thought mechanism represent aspiration state council state member parliament mp elected member legislative assembly state represent bill become law without passed well state resenting union law forum let bill become law voting constitution clearly mandated territory respective government make law issue citizenship clearly fall within domain union government state government business challenging law supreme court guise dispute allowed possibly wreck havoc unique federal system would leave extremely dangerous precedent wherein state government could challenge law union list create constitutional breakdown leading paralysis governance cooperative federalism need hour successful functioning union strengthen spirit constitution,0.9922,0.2718370172719183
5,"154 prominent citizens write to President in support of CAA, NPR, NRC",download time news app latest news subscribe start daily morning time newspaper order new many prominent citizen including former judge bureaucrat armed force officer academician false motivated campaign launched caa nrc sinister design harm nation sought action letter president ram citizen urged central government look ongoing protest seriousness safeguard democratic institution country take stern action people behind citizen including former judge different high court retired officer former foreign service officer retired former lieutenant general fear spread across length breadth appears motivated sinister design harm campaign carried coordinated manner leading violent protest public private property citizen false nefarious narrative recently enacted like citizenship amendment act caa idea national population register national register citizen nrc caa enacted idea nrc part discourse since independence remains implemented protest grave security implication bode well motherland protest ostensibly claiming oppose policy government effect designed destroy fabric country harm nation unity integrity citizen claimed strongly feel external dimension disturbance caa member christian community come till facing religious persecution treated illegal immigrant given carried along house listing phase census exercise prime minister home minister shah recently government yet taken decision implementing video prominent citizen write president ram support caa nrc,-0.9628,0.20898387093422902
6,"NRC and CAA Bill: 'No need for Indian citizens of any religion to worry about CAA, NRC'",story nrc nrc part caa caa separate law nrc separate process caa come force nationwide passage parliament nrc rule procedure country yet decided nrc process going implemented supreme court mandated accord need worry caa nrc need citizen religion worry caa nrc nrc people particular religion nrc nothing religion nrc every citizen citizen register name every recorded people excluded nrc religious ground nrc religion whenever nrc implemented neither applied basis religion implemented basis religion one excluded basis follows particular religion conducting nrc asked present proof u first important know national level announcement made begin nrc process implemented mean anyone asked proof nrc merely normal process register name citizen register like present identity card document registering name voter list getting card made similar document shall need provided nrc carried citizenship decided hand government citizenship person decided basis citizenship rule rule based citizenship act rule publicly front everyone five way person become citizen citizenship birth ii citizenship descent iii citizenship registration iv citizenship naturalization v citizenship incorporation provide detail birth parent prove citizenship would sufficient provide detail birth date birth month year place birth detail birth provide detail parent absolutely compulsion submit document parent citizenship proved submitting document related date birth place birth however decision yet taken acceptable document likely include voter card passport license insurance paper birth certificate school leaving certificate document relating land home similar document issued government official list likely include document citizen suffer unnecessarily prove ancestry dating back genealogy submit type identity card document like birth certificate valid nrc based accord directive supreme court rest country nrc process completely different citizenship registration citizen issue national identity card rule easy prove identity lakh people affected due nrc infiltration old problem curb movement government identify intruder enter agreement prepare nrc assuming cutoff date march nrc asked present old document difficult collect nothing like common document required prove identity nrc announced national level rule instruction made way one face trouble government intention harassing citizen putting trouble person illiterate relevant document case authority allow person bring witness evidence community verification etc allowed proper procedure followed citizen put undue trouble large number people home poor educated even basis identity happen people entirely correct people vote basis get benefit welfare scheme government identity established basis nrc exclude anyone transgender atheist woman landless document nrc carried affect mentioned download time news app latest news subscribe start daily morning time newspaper order new government urged people get misled fall victim misinformation campaign vested interest citizenship amendment act national register citizen nrc organised platform carried intense social medium campaign past day rally people march decried national register exercise undertaken country calling part conspiracy declare genuine citizen infiltrator put detention centre fact sheet form q based input government source help people understand issue,-0.8485,0.15994997735654462
7,"Govts assurance on CAA-NRC-NPR ignores a basic moral principle: Humanity, humaneness begin with empathy",protest photo protest photo standard defence caa trotted bjp outreach programme claim right existing citizen affected recent instance reassuring claim letter grandmother shaheen bagh dear shaheen bagh claim particularly seen conjunction due start nrc almost certainly false course may true proposed denial citizenship refugee people already citizen would exempt purview course whether citizen would subject determination caa helpfully remove deemed noncitizen category even eligible refugee well nonexistent detention camp accommodate say caa conferring right refugee beneath contempt even child know selective conferring whether sweet citizenship implicitly denial one excluded hand take prime minister word nrc much gleam government eye make home minister threat official defence caa reassurance given law concerned right others potential refugee neighbouring country consequently right unaffected reassurance even beyond likely falsehood expose moral emptiness ruling dispensation plainly speaking concern right others fundamental moral morally engaged person even dog bark must know rat squeal speaking barking growling squealing defence one something share rest animal world human humane moral conduct begin mere fall people must learn become human concerned right others capable sympathy empathy beyond domain individual collective narcissism mature society create institution family school child learn mean human evidence violent adult swarming street fail learn learn elsewhere course extreme human altruism human monstrosity unknown natural animal world mother uniquely human phenomenon editorial shifting burden proof citizen telling right bounded duty one many bizarre thing one heard conduct police report charged parent juvenile protection act parent brought child attend protest caa even though clearly right unaffected indeed child might young even understand right mean rather like police fact course given police child could easily get hurt right time curious story concern police child right appeared daughter sent picture small demonstration oxford odd people standing cobble outside camera shaking fist protest winter air part conscientious gaggle protestors elder grandson blowing away trombone musical accompaniment demonstrator slogan younger grandson yet five looking baffled standing beside mother ala understanding intricacy caa still picked crucial cry course understand mean one day meanwhile learnt important moral lesson concern right others unknown distant others willing undergo discomfort danger make u human humane being honourable dishonourable apologist please desist speak merely although right unaffected even right unaffected opinion prize joke citizenship law entry yet strictly speaking even true constitutionally guaranteed right country right indeed responsibility concerned country fate country right supersedes alleged mandate rooted democratic constitution country constitution simply document grammatically speaking record act process heroic endeavour midst million difficulty republic created democratic secular socialist committed principle spelt preamble preamble turn remind set become bloodstained moment year ago wish create new kind begin beginning convene new constituent assembly let see agree another viable fail responsibility failure rest squarely shoulder patiently assiduously worked hollow undermine constitution writing guardian novelist expressed clarity eloquence stake deceitful phrasing caa well devious concert nrc put death omission single word mean part fraught great experiment parallel anywhere world every contributed creating refugee suddenly denied access created opinion p b writes citizenship law decade finally come term reality article first appeared print edition march title right others writer taught department english university life express telegram click join channel stay updated latest headline latest opinion news download express app,0.9792,0.26509429290668285
8,A State can have reasons to discriminate among non-citizens,word secular defined constitution article first article constitution mandate state shall discriminate citizen ground religion race caste sex place birth illustration c r word secular defined constitution article first article constitution mandate state shall discriminate citizen ground religion race caste sex place birth illustration c r citizenship amendment act proviso added section b citizenship act modifying definition illegal migrant specifying person belonging christian community entered treated illegal migrant exempted central government section b added citizenship act grant citizenship person certain condition restriction prescribed section citizenship act otherwise provides citizenship naturalisation category person per provision rd schedule act purpose enacting citizenship amendment act give citizenship naturalisation person community faced persecution three neighbouring country belonging community kept mind community minority community three neighbouring country person minority community living made flee country due fundamentalism intolerance torture ground religion blasphemy law country rigid onus proving innocence lie accused complainant student lodge complaint police teacher committed blasphemy properly interpreting religious scripture showing religious scripture bad light secret many case neighbouring country people lost life hand violent crowd punishment blasphemy death terror mind minority community implicated false case blasphemy come light many instance country using tactic harassment christian community country especially ensured member christian community face blasphemy get proper legal help however fear much lawyer appearing behalf accused faced threat life minority community decimated country either killing converting forcibly problem granting citizenship taken shelter pending long almost political party different time expressed concern community advocated granting citizenship however since advent coalition government political party power courage bring law lest affect vote bank law passed recently parliament political party past advocating citizenship minority community started opposing name secularism word secular defined constitution article first article constitution mandate state shall discriminate citizen ground religion race caste sex place birth mandate given state respect citizen citizen country subjected disability discrimination ground religion race caste place birth constitution mandated noncitizen discriminated ground religion race caste state reason discriminate among noncitizen reason may various one may security state facing terrorism across border decade terrorism primarily sponsored terrorism neighbouring state terrorist organisation based proclaimed goal establishing fundamental order goal openly pronounced meeting terrorist organisation sole motive terrorist organisation establish rule crush religion community subjugate fighting bitter battle terrorist support terrorist organisation get support good enough reason state deny naturalisation illegal belonging majority religion neighbouring country secularism constitution spread different article word secular preamble present constitution framed secularism based equal respect religion citizen concept based concept secularism attempt made amendment bill constitution define secularism definition could adopted parliament inadequate support definition read expression secular republic meant equal respect religion interestingly congress party opposition time opposed adaptation definition introduced vide constitutional amendment bill amendment proposed insert new article reading state shall equal respect religion opinion prize joke citizenship law entry despite state proclaimed secular state view various article constitution central state government right independence profess secularism even making law needed separate religion civil right citizen constitution mandated enacting uniform civil code would protected citizen irrespective caste creed religion respect civil right would left free profess religious practice respect worship god deity prophet holy book adopting ritualistic practice worship provided ritual interfere right citizen however instead framing citizen like uniform criminal code treat equal citizen government went regulate practice associated community made significant change personal law change required similar change equally required made citizen country irrespective religion state took step respect take similar step enacting progressive law respect even court tried give right follower faith government centre overturned decision enjoyed majority legislature word secularism present preamble shah ruling given supreme court overturned parliament principle secularism constitution beginning parliament defeated concept secularism first step taken legislature towards secularism enacting development exposed sham secularism contemporary politician government legislature therefore state beginning accused showing undue protection even foul practice minority religion interference majority community propagator secularism using word tool vote mopping real credential never secular article constitution mandate state equality law every person article qualified word citizen whereas article qualified word citizen mandate state shall discriminate citizen ground religion race caste sex interpreting article early v air sc sc stated guiding principle article person thing similarly circumstanced shall treated alike provision constitution forbid different treatment unequal rule like treated like unlike treated differently uniform treatment bad unequal treatment equal air sc stated earlier position minority community neighbouring country position country never equal minority community consistently suffered hand majority community statute book full instance special legislation applying particular class group discrimination ground caste sex often approved supreme court done positive action legislature protect group undo historical injustice despite article mandating shall discrimination ground religion race caste sex place birth etc article iv mandate state right making special provision advancing socially educationally backward class state making law preferring woman men making special law securing protection certain section society ground historical injustice done community state full authority pas law undo injustice done minority community neighbouring country sought refuge within border opinion p b writes citizenship law hope fear anger decade finally come term reality constitution meticulously lay power state union creates balance power state union union normally interfere power granted state constitution state refuse administer law passed union constitution given authority centre enforce administrative direction state compel comply power intended ensure harmony union state executive authority state exercised ensures compliance union law administrative direction state exercise authority impede obstruct execution union law service state exhibit definite attitude hostility central government central government order maintain integrity country empowered intervene state option implement law passed union constitution envisage dual citizenship one state centre state citizenship law power respect law citizenship exclusively lie union state one option approach judiciary feel law per constitutional provision passing resolution state assembly meaningless exercise palliative effect constitution maker people country opted parliamentary democracy work principle majority rule implies willingness minority time accept decision majority normally political party agenda go people agenda time contesting election political party divided issue policy country like existence large body voter owe allegiance vision party time election decide political party would serve national interest best way whose policy considered best nation best people people exercised right minority supposed respect majority opinion wait next election convince people policy political party power good country minority take law hand undermine majority expressed representative parliament want wait next parliamentary election option bringing motion present government battle political party fought general election within parliament debate fought street lead anarchy article first appeared print edition title welcome reservation writer former judge high court editorial shifting burden proof citizen telling right bounded duty express telegram click join channel stay updated latest headline latest opinion news download express app,0.9827,0.26690131179046417
9,P Chidambaram writes: The magic words national interest do not signal correctness but finality,government working overtime take many decision national interest matter time swell trillion become foremost power world government working overtime take many decision national interest matter time swell trillion become foremost power world prime minister speaking referred decision revoke article constitution enact citizenship amendment act national interest decision necessary despite various international pressure stand decision continue stand magic word national interest signal correctness signal finality pm pm declared decision taken national interest expects criticism cease debate end looked back year tried count decision action taken central government government claimed national interest list long controversial able compile demonetisation demonetisation national interest government asserted repeatedly critic monumental blunder disastrous consequence cash sucked system crippling sector economy agriculture construction retail trade owner micro small enterprise forced shut business many continue remain shut lost job remained jobless long time thereafter jury whether demonetisation national interest law passed according government national interest plausible argument law designed carefully rate single moderate rate software ready administrative machinery trained prepared nearly two year later collection estimate compensation ce insufficient compensate state promised refund become major bone contention government business would national interest roll back would national interest persist current design rate country interest article using article get rid art national interest argued government fracturing state two union territory national interest putting valley since august supreme national interest detaining three former chief minister without charge six month invoking public safety act detain without charge period two year paramount national interest stalling hearing corpus petition seven month national interest list long one seems agree constructing national register citizen national interest government claimed identifying person foreigner illegal migrant national interest calling termite vowing throw advance national interest finding lakh among foreigner striking upon diabolical idea amending citizenship act solution devised national interest drafting passing law hour allow remain would leave thrown highest national interest national interest decision thrown whole country unprecedented turmoil rejecting m begum claim based document citizen protect national interest sedition budget slapping sedition charge spoke citizenship amendment act national interest using lathi water canon firing bullet peaceful protester person killed alone national interest detaining teacher parent enacting play obliquely criticised caa national interest goading gathering election rally shout back calling serving chief minister terrorist national interest describing contest bjp fight protect national interest reading minute budget speech albeit leaving incomplete national interest handing estimated r crore hundred form reduction corporate tax rate national interest cutting expenditure revised estimate agriculture food security midday meal scheme skill development healthcare scheme etc national interest suppressing survey reported rising unemployment per cent falling consumption per cent safeguard national interest chanting slogan create awareness national interest allowing brother others quietly slip country national interest pressing government deport national interest national interest list unending government working overtime take many decision national interest matter time swell trillion become foremost power world express telegram click join channel stay updated latest headline latest opinion news download express app,0.9978,0.27476767023026777
