,Title,Text,sentiment,neutrality
0,"Coronavirus highlights: 10,000 samples tested, 575 positive cases in 24 hours",outside store day express photo centre considering option lift pm pm already warned state possible second wave spread virus virus country civil aviation minister flight resume booking look like railway issuing ticket date international flight however permitted depending point origin prime minister underlined next week testing tracing isolation quarantine remain area focus country war coronavirus threat told chief minister state formulate common exit strategy ensure staggered reemergence population end however warned global situation remains far satisfactory speculation possible second wave spread virus virus country prime minister according official statement considering time harvest crop government given relaxation necessary continuously monitor maintain social distancing much possible asked state think platform procuring grain apart agricultural produce market committee explore possibility creating pooling platform rural area like ride sharing apps used purpose coronavirus latest news govt authority considering option lift day covid express photo tweet later day tomorrow morning share small video message fellow entered day government mulling option lift restriction within government limited area option seems gaining ground point one opinion currently within government seems may possible reach situation best option would focus specific pocket contain spread identify pocket like across country may several hundred reasonably satisfied rest country go business pocket remain one left restriction highly placed government source coronavirus worker sanitize area west several people attended congregation tested positive covid new express photo meanwhile congregation new last month emerged biggest country accounting covid positive case total death linked gathering number positive case almost doubled fuelled largely evacuated testing positive coronavirus live news update people showed coronavirus symptom taken various hospital area new express photo anil quick coronavirus guide express explained keep updated cause covid patient relapse recovery covid cleaned air may good news alternative medicine work coronavirus test covid readied may get building defence fraction coronavirus suffer acutely healthcare worker protect getting infected take set isolation ward read complete coverage coronavirus pandemic,0.9643,0.26297217822254254
1,PM Narendra Modi announces emergency relief fund for coronavirus fight,homeless migrant labourer leaving express photo homeless migrant labourer leaving express photo prime minister announced creation assistance emergency situation relief fund people contribute help government fight coronavirus prime minister citizen assistance relief emergency situation fund go long way creating healthier twitter coronavirus live update people walk life expressed desire donate war covid adding fund constituted respecting spirit p en fund accepts strengthen disaster management capacity encourage research protecting citizen let u leave stone unturned make healthier prosperous future generation march people walk life expressed desire donate war covid adding fund constituted respecting spirit appeal fellow kindly contribute fund fund cater similar distressing situation occur time ahead statement posted official website prime minister chairman new public charitable trust member include defence minister home minister shah finance minister like rest world spread coronavirus alarming posing severe health economic ramification country march pm pm declared day nationwide starting midnight saying way containing coronavirus infection state already announced announcement extended state union territory social distancing way break cycle infection meanwhile ministry health family welfare total case novel coronavirus covid reported active case patient discharged fatality reported first covid death deceased returned admitted medical college march following symptom later tested positive resident reported eight new case tally rising reported six new case total number state meanwhile chief minister told prepare potential stage outbreak covid therefore taking step handle situation even get covid case day news general surgeon died hour tested positive express telegram click join channel stay updated latest headline latest coronavirus outbreak news download express app online medium service pvt ltd,0.9735,0.26772214672655126
2,"Coronavirus: India under 21-day lockdown beginning tonight, PM Modi says",prime minister country go starting midnight day illustration prime minister country go starting midnight day illustration prime minister announced full countrywide starting midnight till day able manage upcoming day pushed back year pm pm address nation number case risen council medical research confirmed death toll across country stand minute pm pm declaration ministry home affair clarified ration shop dealing food grocery fruit vegetable dairy milk booth meat fish animal fodder remain open list exemption includes delivery essential good petrol pump centre warned legal action violating enforced till march curtail pandemic violator could either face fine r jail term six month abide order government domestic commercial flight would remain suspended restrict interstate movement precautionary measure globally people died due pandemic total positive case confirmed reported highest number death number positive case china reported death case far reported death,-0.9653,0.20631219784831298
3,"COVID-19: Third death, Govt allows use of anti-HIV drugs for high-risk patients above the age of 60",fresh case reported total number confirmed case climbed including people recovered file fresh case reported total number confirmed case climbed including people recovered file reported third novel coronavirus covid death man travel history underlying condition high blood pressure heart disease fresh case reported total number confirmed case climbed including people recovered two tourist man wife administered combination usually medication recovered union health ministry recommended use antiviral drug basis patient aged year underlying condition read random test show community spread praise govt meanwhile extended travel ban passenger barring entry union free trade association turkey united kingdom station pm pm usually packed rush hour express photo station pm pm usually packed rush hour express photo travel passenger prohibited immediate effect flight shall take country hour standard time airline shall enforce port initial departure new travel advisory report tested positive joint secretary pilgrim safe mission mission taking care need circulating list confirm anything virus virus widespread may spread explained work home work related development council medical research talk national accreditation board testing calibration laboratory accredited laboratory country opening coronavirus testing private sector condition test result must conveyed local official integrated disease surveillance programme end week functional lab covid testing others government talk private laboratory start testing dr secretary department health research may need day procurement reagent many offered help national interest appeal make test available free cost bus conductor clean bus amid coronavirus fear bus conductor clean bus amid coronavirus fear addition two laboratory capacity process sample per day readied according guideline private laboratory laboratory test offered prescribed qualified physician per guidance share sop laboratory testing provide positive control establishing test soon concerned private laboratory procured primer probe reagent per sop adoption commercial kit testing based validation conducted institute virology appropriate precaution ensured collecting sample suspect patient senior scientist dr equipment confirmatory test distributed laboratory across country testing criterion expanded include health worker caring covid patient show symptom earlier limited symptomatic people travel contact history government made mandatory hospital government private medical officer government health institution registered private medical practitioner notify covid case district surveillance unit doctor must get form signed patient history travel affected country according revised clinical management guideline covid patient current evidence recommend specific treatment suspected confirmed patient covid specific antiviral recommended treatment covid due lack adequate evidence literature use pep regimen week associated significant adverse event many time lead discontinuation therapy light used proper informed expressed consent case case basis severe case within undermentioned framework along supportive treatment per need fake blood seen test tube labelled coronavirus covid illustration taken march fake blood seen test tube labelled coronavirus covid illustration taken march drug used patient hypoxia hypotension new onset organ dysfunction one high risk group including people diabetes renal failure chronic lung disease immunocompromised person aged year government issued guideline last rite case covid death ensure standard precaution prevention infection taking precautionary measure department personnel training ordered installation thermal scanner hand sanitisers entry point government building advised official travel called meeting video conference government increased number line covid helpline thirty nodal officer level joint secretary drawn various ministry coordinate state man returned died last woman died man daughter doctor tested positive express telegram click join channel stay updated latest headline latest coronavirus outbreak news download express app,0.9697,0.26575504953436246
4,"Fake videos behind attack on health team in Indore, 4 booked under NSA",video showed large group resident shouting chasing away team comprising health civic official video showed large group resident shouting chasing away team comprising health civic official covid case reported city march become latest cause worry authority people tested positive far live small house congested locality authority figuring source infection nobody area travelled abroad international flight taking fly authority believe flight could possible source infection per cent positive case reported locality including neighbourhood resident attacked team comprising doctor worker revenue official fake video claiming healthy taken away injected virus virus round adjoining locality team attacked gone identify family member man died covid cooperating beginning answered question suddenly attacking member help team recounted police arrested four people connection violence booked national security act chief minister stopping doctor duty strictly dealt resident resident suspicious health worker fake video started round explaining surge case divisional commissioner coming new locality mostly family whose member reported positive sense threat limited locality adding source infection probably someone travelled quick coronavirus guide express explained keep updated cause covid patient relapse recovery covid cleaned air may good news alternative medicine work coronavirus test covid readied may get building defence fraction coronavirus suffer acutely healthcare worker protect getting infected take set isolation ward express telegram click join channel stay updated latest headline latest coronavirus outbreak news download express app online medium service pvt ltd,-0.959,0.20345400842616373
5,Transparency Has Been Keralas Biggest Weapon Against the Coronavirus,health minister held extraordinary press conference around reporter present medical college hospital briefed first confirmed case covid disease caused novel coronavirus patient medical student returned china first virus virus spent day isolation back normal life odd day late night medium briefing briefed reporter daily basis government preparedness well action taken keep pandemic bay chief minister took baton past day briefing reporter teacher health minister commonly known seated alongside irrespective faced microphone camera health minister cm crystal clear point statement duo completely transparent total confirmed case state infected patient five discharged detail case barring identity patient attitude filtered level government motto seemed keep simple straight large number people work outside especially west made case particularly sensitive government adopted twin strategy mass testing high number case reported effort state government test many people possible happened state day one health department released data patient issued bulletin health condition continued first cluster case three medical student returned cured covid discharged hospital second cluster reported case identified strategy contact tracing became progressively harder surveillance airport prove effective family coming slipped international airport screening march family virus virus spread five people two patient gave authority miss creating chaos across monitoring system health department even government continued give regular update number case patient health condition opposition party tried target government handling health emergency leader opposition urged government instead trying contain spread coronavirus state adopt mitigation strategy employed western country like u chief minister dismissed suggestion confirmed case u risen exponentially opposition party maintained radio silence government handling pandemic lauded many even usually supporter left party frank cm unbelievable job leading front say senior congress leader unlike many leader minister communist government knack dealing adverse situation calamity teacher gained huge popularity among public outbreak virus virus leadership erred booed health minister inside assembly talking action taken government curb spread virus virus single act put opposition back foot leader even though criticism way government machinery functioning government gained huge support among community across globe stature captain often called party men grown many fold received praise arguably popular health minister ever seen humanitarian intervention earned name teacher science teacher entering electoral politics let u see step government taken curb spread virus virus provision testing whether state willing adopt twin policy mass testing march sent sample testing state returned negative confirmed viral infection eleven patient already recovered discharged hospital covid patient still hospital two apparently tested negative final confirmation awaited state already seven authorised centre test viral infection public private sector two functional week time according health department always ready test people government waiting testing facility get clearance read covid taking heed mental health intervention requirement essential commodity met state government plan distribute resource next month cm state well equipped provide essential commodity next three month daily briefing medium made clear single family state would starve people might comfortable asking food set phone number level people place order food delivered door volunteer community kitchen start functioning municipality six municipal corporation state planning mobilise lakh volunteer across state ensure delivery essential good distribution welfare pension six month start state already announced free ration food grain family poverty line get kg rice family receive kg addition grocery kit provided every family government ensure medicine medical care provided critical care patient social welfare department made arrangement providing accommodation food transgender person affected food department taken step provide food grain living rented house without ration card verifying number ensuring name included ration card food grain distributed state government refurbish health infrastructure testing kit isolation ward ventilator protection gear frontline health worker state government already roped private hospital prepare untoward escalation situation apart utilising government hospital bed available private hospital across state bed available apart hospital facility isolation room arranged hostel cm religious group like catholic bishop council offered hospital case emergency situation scarcity testing kit government trying procure help various agency economic relief announced state grant relief people likely incur loss even centre announced covid relief package state government announced special package worth r crore state finance minister recently wrote financial package delivered important make effort put money hand people juncture employment income common people spiralling decided annual borrowing next financial year allowed annual borrowing r crore r crore first quarter government extend relief widow planning implement employment guarantee programme worth nearly r crore enabled r crore package whose substantial portion paying whole lot arrears old age pension scholarship subsidy advance payment made article read caught outbreak model public healthcare lauded main challenge state facing moment past experience battling deadly virus virus took life since learning battle health department led minister well equipped handle pandemic however returned state middle east covid outbreak main cause worry almost case reported state international travel history especially slipped past authority passed infection others even government servant politician behaved irresponsibly latest instance officer fleeing quarantine another example major embarrassment district administration put isolation fled native place local leader tested positive virus virus claim touch senior congress state leader met least two minister cabinet last week part discussion settle ongoing strike district remains seen leader infected independent journalist based,0.9949,0.2789354521796834
6,The Curious Case of the Deaths That Weren't Due to COVID-19,last week union health ministry published two press release covid raised many eyebrow first death man later tested positive covid recently visited fell ill upon return eventually succumbed however press release used strange phrasing announce man confirmed died due person one illness time called man history asthma hypertension another press release issued next day death woman covid repeated language likely contracted virus virus son suffered diabetes hypertension press release claimed death confirmed due statement imply two people first two succumb covid died novel coronavirus driving global pandemic illness already press conference march health ministry joint health secretary lav drove point home telling reporter appreciate two died clearly implying death rare ongoing epidemic norm language problematic multiple reason continue reading article wire science wire new science section science writer,-0.9851,0.21542487024298376
7,"Coronavirus in India: What Exactly Has Happened, What Needs to and What You Can Do",since year coronavirus china province swiftly spread country worldwide infected people killed outside china virus virus infected people killed nearly declared spread public health emergency international concern detail indicate quickly infectious disease outbreak cause widespread havoc socioeconomic disruption beyond geographical boundary country origin today covid disease caused coronavirus present every continent except number new case china declining due country rigorous containment mitigation effort incidence infection steadily rising south many eastern country meanwhile reported first covid case last week followed two case quick succession forcing declare state calamity three people since recovered discharged hospital government timely containment management three incident along rigorous surveillance quarantine many others prevented local spread coronavirus remarkable achievement health system comparatively robust among state ability state health system contain virus virus spread may window opportunity march sudden spurt number confirmed case north due local transmission people recently travelled abroad including group tourist sent country techie returned tested positive following began taking measure quarantine people closed space person come contact however important underline case infection either due travel outside come contact people contracted infection outside thus far government yet document incident community spread spread disease source infection patient unknown detect community infection case definition suspected case expanded include test people history travel abroad contact already infected person long community transmission window opportunity contain spread remains wide open need panic number covid case increase coming day among close contact already tested positive provided quarantine local transmission virus virus middle east region higher traffic china rule increase number case local transmission people orbit coming day even factoring control universal screening port entry read paranoia go viral govt health circle testing lab face heat keeping mind important nationwide health system stay high alert undertake sustained surveillance immediate isolation quarantine suspected case infection well contact paramount importance equip lab network virus virus research diagnostic laboratory additional resource start testing state government strengthen integrated disease surveillance programme review supply chain mask personal protective equipment ensure uninterrupted availability medical worker third national centre disease control revise case definition suspected case line revision include patient severe acute respiratory infection requiring hospitalisation clinical condition explained cause coming day incidence infection likely increase hospital sufficient number isolation bed mechanical ventilation facility much focus currently covid remember several communicable noncommunicable disease health system already deal daily basis must ensure hospital become overwhelmed patient adversely affecting patient availability protective equipment dr director general expressed concern march country ability respond compromised increasing disruption global supply chain thanks rising demand hoarding misuse important general public understand currently need wear mask hoard product aimed frontline health worker risk life performing duty save life infected patient shortage turn risk life brave worker could even affect overall response since successfully responding outbreak depends availability uninfected frontline health worker fact study shown availability drug health worker increase willingness respond infectious disease outbreak read spat coronavirus continues time medical equipment export finally desperately need comprehensive national policy set strategic national stockpile make sure uninterrupted supply medical countermeasure drug consumables vaccine device etc use public health emergency already concern shortage drug considering import around active pharmaceutical ingredient raw material required make drug china directorate general foreign trade restricted export certain drug mask news report government contemplating drug security authority stock drug however authority would piece health security authority take fuller view impending epidemic instead drug misinformation fake news aside availability drug hospital bed another cause concern outbreak misinformation fake news misinformation often spread objective create fear panic among mass thus important outbreak general public receives authentic information directly government source always crosscheck social medium forward government notification near future case load increase government could consider mandatory movement restriction measure prevent spread virus virus government done scenario proper risk communication affected community explaining pro con measure important minimise social disruption various well private sector play significant role front moreover recent ministry notification homeopathic prophylaxis coronavirus met widespread disapproval new virus virus still understand well enough forget treatment prophylaxis however people taking medicine might develop false sense protection covid leading complacency adverse consequence read coronavirus misinformation spread social medium remove post similarly political leader decision avoid gathering seems abundance caution scientific advice social distancing advisable outbreak proportional risk bearing mind cluster case excessively precautionary measure public figure might help alleviate fear among public last people play significant part combating new coronavirus following simple preventative habit staying home sick covering mouth coughing sneezing etc keep others safe let hope concerted effort government private sector public together contain virus virus associate professor hospital administration joint medical superintendent view expressed personal,-0.7184,0.1092179795234827
8,"Overseas Coronavirus Spread May Be 'Tip of The Iceberg', Warns WHO",geneva head world health organisation concerning instance coronavirus among people travel history china warning could tip iceberg urged country prepare possible arrival novel virus virus killed people lauded doctor nurse health worker utmost personal risk contain epidemic terming true hero outbreak first surfaced city china central province million people bid stop spreading concerning instance onward spread people travel history china detection small number case may indicate widespread transmission country short may seeing tip iceberg tweeted read warns global shortage coronavirus protective equipment evolving public health emergency country must step effort prepare possible arrival utmost contain arrive mean lab capacity rapid diagnosis contact tracing tool public health arsenal death toll china novel coronavirus epidemic jumped number confirmed case risen health official spread coronavirus outside china appeared slowing could accelerate warning breach solidarity victory virus virus containment remains objective country must use window opportunity created containment strategy prepare virus virus possible arrival spirit financial solidarity donor stepping reached goal u million vulnerable country containment remains objective country must use window opportunity created containment strategy prepare virus virus possible arrival read coronavirus first death reported total people died coronavirus confirmed case infection reported region far china national health commission end confirmed case including one death reported hong confirmed case overseas case coronavirus reported including three outside china infection reported almost place two death one hong several country banned arrival china major airline suspended flight country china country around world scrambling contain spread coronavirus wreaking havoc china abroad apart nation case virus virus include,-0.9758,0.2111201504472478
9,Coronavirus | Positive cases jump to 20 in Odisha,made quantum jump coronavirus infection reporting many new case taking total number covid case state read government announces complete shutdown hour three city new case belonged capital city two reported one case detected capital include seven close contact pk tested positive state fifth case travel history remaining three patient belonged one family area city till recorded five covid case fresh case state tally gone forcing state government enforce complete shutdown hour town since pm pm,0.7574,0.16737888516509639
