,Source,Link
0,News18,news18.com/news/india/coronavirus-pandemic-live-updates-pm-narendra-modi-us-jan-dhan-nizamuddin-maharashtra-mumbai-telangana-delhi-2562389.html
1,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=NRC&turl=http%3A%2F%2Fddnews.gov.in%2Fmamata-banerjee-NRC-Assam&encid=7805d91bcaad300e6218fee9a94c8d43&rank=0&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fmamata-banerjee-NRC-Assam
2,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=NRC&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fpm-nrc-no-citizen-india-will-have-leave-country&encid=5539b65bc878adf7dd201b8699784a94&rank=1&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fpm-nrc-no-citizen-india-will-have-leave-country
3,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=NRC&turl=http%3A%2F%2Fddnews.gov.in%2Fnational-people%2Fassam-final-list-national-register-citizens-nrc-published-%C2%A0&encid=f2fc7252886546415c399e14be45b2ee&rank=2&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational-people%2Fassam-final-list-national-register-citizens-nrc-published-%25C2%25A0
4,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=NRC&turl=http%3A%2F%2Fddnews.gov.in%2Fvideos%2Fnational%2F28983677-crore-applicants-cleared-genuine-indian-citizens-registrar-general-nrc&encid=f5a4f996c5e8f07233e4dfde6cf8b86f&rank=12&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fvideos%2Fnational%2F28983677-crore-applicants-cleared-genuine-indian-citizens-registrar-general-nrc
5,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=NRC&turl=http%3A%2F%2Fddnews.gov.in%2Fvideos%2Fnational%2Fassam-police-registers-fir-against-mamata-banerjee-nrc-remarks&encid=e04693446e4d5e7a565e280640a8353a&rank=13&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fvideos%2Fnational%2Fassam-police-registers-fir-against-mamata-banerjee-nrc-remarks
6,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=NRC&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fno-genuine-citizen-will-be-left-out-nrc-pm-modi&encid=cac112b4d9341882dae64d3074deb0fa&rank=14&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fno-genuine-citizen-will-be-left-out-nrc-pm-modi
7,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=NRC&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fleft-out-nrc-persons-will-get-facilities-prove-their-cases-assam-govt&encid=a28a36ad852732fde294d3c01c0aedf8&rank=15&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fleft-out-nrc-persons-will-get-facilities-prove-their-cases-assam-govt
8,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=NRC&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fhome-minister-amit-shah-centre-will-not-touch-article-371&encid=a71863ed15fb0703b25882ef340fcf08&rank=25&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fhome-minister-amit-shah-centre-will-not-touch-article-371
9,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=Citizenship+amendment&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fjpc-report-citizenship-amendment-bill-2016-tabled-lok-sabha&encid=c98df1c9a29313d8e92d608d9eb8ebd1&rank=0&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fjpc-report-citizenship-amendment-bill-2016-tabled-lok-sabha
10,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=Citizenship+amendment&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fno-genuine-citizen-will-be-left-out-nrc-pm-modi&encid=cac112b4d9341882dae64d3074deb0fa&rank=1&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fno-genuine-citizen-will-be-left-out-nrc-pm-modi
11,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=Citizenship+amendment&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fpm-modi-oppositions-every-word-important&encid=868f465d1006e2804a2419c481e40aef&rank=5&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fpm-modi-oppositions-every-word-important
12,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=Citizenship+amendment&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Flok-sabha-discusses-124th-constitution-amendment-bill&encid=7e70b3f75cdbcd5506b42974eaf37f35&rank=7&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Flok-sabha-discusses-124th-constitution-amendment-bill
13,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=Citizenship+amendment&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fday-monsoon-session-speaker-and-centre-call-all-party-meet&encid=0c305044ad9461eba10288eff06ad0ff&rank=10&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fday-monsoon-session-speaker-and-centre-call-all-party-meet
14,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=Citizenship+amendment&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fgrowing-stronger-together-another-name-gst-pm-modi&encid=27440d18b6b1f3cae34d8da7397148cc&rank=2&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fgrowing-stronger-together-another-name-gst-pm-modi
15,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=Citizenship+amendment&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fpm-modi-addresses-poll-rallies-bihar-assam&encid=c6d2594d8025b16f7ed66d0d63f631cd&rank=3&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fpm-modi-addresses-poll-rallies-bihar-assam
16,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=Citizenship+amendment&turl=http%3A%2F%2Fddnews.gov.in%2Finternational%2Fnepal-parliament-begins-discussion-constitution-amendment-bill&encid=b2b751db6ed7da69da099dc292a2d034&rank=6&encoded_url=http%3A%2F%2Fddnews.gov.in%2Finternational%2Fnepal-parliament-begins-discussion-constitution-amendment-bill
17,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=Citizenship+amendment&turl=http%3A%2F%2Fddnews.gov.in%2Finternational%2Fssfn-%C2%A0join-nepal-communist-party-led-govt&encid=98be747a2b7629e2661ea699d2f0cd5c&rank=8&encoded_url=http%3A%2F%2Fddnews.gov.in%2Finternational%2Fssfn-%25C2%25A0join-nepal-communist-party-led-govt
18,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=nrc&turl=http%3A%2F%2Fddnews.gov.in%2Fvideos%2Fnational%2Fassam-floods-high-level-central-team-led-kiren-rijiju-visits-guwahati&encid=9210cbe35c17bf90f128b31286c35ef5&rank=30&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fvideos%2Fnational%2Fassam-floods-high-level-central-team-led-kiren-rijiju-visits-guwahati
